"","toolcombo","toolcombo2","assembly","num_viruses","prop_vir","numtools","environment"
"1","0 0 1 0 0 0","0 0 tnv 0 0 0","ANE",0,0,1,"global_oceans"
"2","0 0 1 0 0 0","0 0 tnv 0 0 0","ANW",0,0,1,"global_oceans"
"3","0 0 1 0 0 0","0 0 tnv 0 0 0","ASE",0,0,1,"global_oceans"
"4","0 0 1 0 0 0","0 0 tnv 0 0 0","ASW",0,0,1,"global_oceans"
"5","0 0 1 0 0 0","0 0 tnv 0 0 0","ION",0,0,1,"global_oceans"
"6","0 0 1 0 0 0","0 0 tnv 0 0 0","IOS",0,0,1,"global_oceans"
"7","0 0 1 0 0 0","0 0 tnv 0 0 0","MED",0,0,1,"global_oceans"
"8","0 0 1 0 0 0","0 0 tnv 0 0 0","PON",0,0,1,"global_oceans"
"9","0 0 1 0 0 0","0 0 tnv 0 0 0","PSE",0,0,1,"global_oceans"
"10","0 0 1 0 0 0","0 0 tnv 0 0 0","PSW",0,0,1,"global_oceans"
"11","0 0 1 0 0 0","0 0 tnv 0 0 0","RED",0,0,1,"global_oceans"
"12","0 0 1 0 0 0","0 0 tnv 0 0 0","SOC",0,0,1,"global_oceans"
"13","0 0 0 1 0 0","0 0 0 VB 0 0","SOC",15,0.000782881002087683,1,"global_oceans"
"14","0 0 1 1 0 0","0 0 tnv VB 0 0","SOC",15,0.000782881002087683,2,"global_oceans"
"15","0 0 0 1 0 0","0 0 0 VB 0 0","ANW",127,0.000803705906921996,1,"global_oceans"
"16","0 0 1 1 0 0","0 0 tnv VB 0 0","ANW",127,0.000803705906921996,2,"global_oceans"
"17","0 0 1 1 0 0","0 0 tnv VB 0 0","IOS",149,0.000949219919602984,2,"global_oceans"
"18","0 0 0 1 0 0","0 0 0 VB 0 0","IOS",150,0.000955590523090252,1,"global_oceans"
"19","0 0 0 1 0 0","0 0 0 VB 0 0","PSE",325,0.00103711598786095,1,"global_oceans"
"20","0 0 1 1 0 0","0 0 tnv VB 0 0","PSE",325,0.00103711598786095,2,"global_oceans"
"21","0 0 1 1 0 0","0 0 tnv VB 0 0","PSW",166,0.00114068179787943,2,"global_oceans"
"22","0 0 0 1 0 0","0 0 0 VB 0 0","ANE",204,0.00114908861501025,1,"global_oceans"
"23","0 0 1 1 0 0","0 0 tnv VB 0 0","ANE",204,0.00114908861501025,2,"global_oceans"
