toolcombo,toolcombo2,assembly,num_viruses,prop_vir,numtools
0 0 0 0 1 0,0 0 0 0 VS 0,Aberdeen_Man,0,0,1
0 0 0 0 1 0,0 0 0 0 VS 0,Amsterdam_Leid,0,0,1
0 0 0 0 1 0,0 0 0 0 VS 0,Amsterdam_Wee,0,0,1
0 0 0 0 1 0,0 0 0 0 VS 0,Birmingham_Maria,0,0,1
0 0 0 0 1 0,0 0 0 0 VS 0,Cardiff_Maria,0,0,1
0 0 0 0 1 0,0 0 0 0 VS 0,Dundee_Clat,0,0,1
0 0 0 0 1 0,0 0 0 0 VS 0,Dundee_Maria,0,0,1
0 0 0 0 1 0,0 0 0 0 VS 0,Edinburgh_Glen,0,0,1
0 0 0 0 1 0,0 0 0 0 VS 0,Exeter_Maria,0,0,1
0 0 0 0 1 0,0 0 0 0 VS 0,Glasgow_Bal,0,0,1
0 0 0 0 1 0,0 0 0 0 VS 0,Glasgow_Mil,0,0,1
0 0 0 0 1 0,0 0 0 0 VS 0,London_Maria,0,0,1
0 0 0 0 1 0,0 0 0 0 VS 0,Nieuwkoop_DHB,0,0,1
0 0 0 0 1 0,0 0 0 0 VS 0,South_Holland_Dla,0,0,1
0 0 0 0 1 0,0 0 0 0 VS 0,Spannenburg,0,0,1
0 0 0 1 0 0,0 0 0 VB 0 0,South_Holland_Dla,0,0,1
0 0 0 1 1 0,0 0 0 VB VS 0,South_Holland_Dla,0,0,2
1 0 0 0 0 0,tnv 0 0 0 0 0,Aberdeen_Man,0,0,1
1 0 0 0 0 0,tnv 0 0 0 0 0,Amsterdam_Leid,0,0,1
1 0 0 0 0 0,tnv 0 0 0 0 0,Amsterdam_Wee,0,0,1
1 0 0 0 0 0,tnv 0 0 0 0 0,Birmingham_Maria,0,0,1
1 0 0 0 0 0,tnv 0 0 0 0 0,Cardiff_Maria,0,0,1
1 0 0 0 0 0,tnv 0 0 0 0 0,Dundee_Clat,0,0,1
1 0 0 0 0 0,tnv 0 0 0 0 0,Dundee_Maria,0,0,1
1 0 0 0 0 0,tnv 0 0 0 0 0,Edinburgh_Glen,0,0,1
1 0 0 0 0 0,tnv 0 0 0 0 0,Exeter_Maria,0,0,1
1 0 0 0 0 0,tnv 0 0 0 0 0,Glasgow_Bal,0,0,1
1 0 0 0 0 0,tnv 0 0 0 0 0,Glasgow_Mil,0,0,1
1 0 0 0 0 0,tnv 0 0 0 0 0,London_Maria,0,0,1
1 0 0 0 0 0,tnv 0 0 0 0 0,Nieuwkoop_DHB,0,0,1
1 0 0 0 0 0,tnv 0 0 0 0 0,South_Holland_Dla,0,0,1
1 0 0 0 0 0,tnv 0 0 0 0 0,Spannenburg,0,0,1
1 0 0 0 1 0,tnv 0 0 0 VS 0,Aberdeen_Man,0,0,2
1 0 0 0 1 0,tnv 0 0 0 VS 0,Amsterdam_Leid,0,0,2
1 0 0 0 1 0,tnv 0 0 0 VS 0,Amsterdam_Wee,0,0,2
1 0 0 0 1 0,tnv 0 0 0 VS 0,Birmingham_Maria,0,0,2
1 0 0 0 1 0,tnv 0 0 0 VS 0,Cardiff_Maria,0,0,2
1 0 0 0 1 0,tnv 0 0 0 VS 0,Dundee_Clat,0,0,2
1 0 0 0 1 0,tnv 0 0 0 VS 0,Dundee_Maria,0,0,2
1 0 0 0 1 0,tnv 0 0 0 VS 0,Edinburgh_Glen,0,0,2
1 0 0 0 1 0,tnv 0 0 0 VS 0,Exeter_Maria,0,0,2
1 0 0 0 1 0,tnv 0 0 0 VS 0,Glasgow_Bal,0,0,2
1 0 0 0 1 0,tnv 0 0 0 VS 0,Glasgow_Mil,0,0,2
1 0 0 0 1 0,tnv 0 0 0 VS 0,London_Maria,0,0,2
1 0 0 0 1 0,tnv 0 0 0 VS 0,Nieuwkoop_DHB,0,0,2
1 0 0 0 1 0,tnv 0 0 0 VS 0,South_Holland_Dla,0,0,2
1 0 0 0 1 0,tnv 0 0 0 VS 0,Spannenburg,0,0,2
1 0 0 1 0 0,tnv 0 0 VB 0 0,South_Holland_Dla,0,0,2
1 0 0 1 1 0,tnv 0 0 VB VS 0,South_Holland_Dla,0,0,3
0 0 0 1 0 0,0 0 0 VB 0 0,Amsterdam_Leid,1,0.0011587485515643105,1
0 0 0 1 1 0,0 0 0 VB VS 0,Amsterdam_Leid,1,0.0011587485515643105,2
1 0 0 1 0 0,tnv 0 0 VB 0 0,Amsterdam_Leid,1,0.0011587485515643105,2
1 0 0 1 1 0,tnv 0 0 VB VS 0,Amsterdam_Leid,1,0.0011587485515643105,3
0 0 0 1 0 0,0 0 0 VB 0 0,Amsterdam_Wee,1,0.0019267822736030828,1
0 0 0 1 1 0,0 0 0 VB VS 0,Amsterdam_Wee,1,0.0019267822736030828,2
1 0 0 1 0 0,tnv 0 0 VB 0 0,Amsterdam_Wee,1,0.0019267822736030828,2
1 0 0 1 1 0,tnv 0 0 VB VS 0,Amsterdam_Wee,1,0.0019267822736030828,3
0 0 0 1 0 0,0 0 0 VB 0 0,Spannenburg,9,0.0023923444976076554,1
0 0 0 1 1 0,0 0 0 VB VS 0,Spannenburg,9,0.0023923444976076554,2
1 0 0 1 0 0,tnv 0 0 VB 0 0,Spannenburg,9,0.0023923444976076554,2
1 0 0 1 1 0,tnv 0 0 VB VS 0,Spannenburg,9,0.0023923444976076554,3
0 0 0 1 0 0,0 0 0 VB 0 0,Nieuwkoop_DHB,2,0.0026845637583892616,1
0 0 0 1 1 0,0 0 0 VB VS 0,Nieuwkoop_DHB,2,0.0026845637583892616,2
1 0 0 1 0 0,tnv 0 0 VB 0 0,Nieuwkoop_DHB,2,0.0026845637583892616,2
1 0 0 1 1 0,tnv 0 0 VB VS 0,Nieuwkoop_DHB,2,0.0026845637583892616,3
1 0 1 0 0 0,tnv 0 tv 0 0 0,South_Holland_Dla,3,0.014705882352941176,2
1 0 1 0 1 0,tnv 0 tv 0 VS 0,South_Holland_Dla,3,0.014705882352941176,3
1 0 1 1 0 0,tnv 0 tv VB 0 0,South_Holland_Dla,3,0.014705882352941176,3
1 0 1 1 1 0,tnv 0 tv VB VS 0,South_Holland_Dla,3,0.014705882352941176,4
0 0 0 1 0 0,0 0 0 VB 0 0,London_Maria,10,0.015552099533437015,1
0 0 0 1 1 0,0 0 0 VB VS 0,London_Maria,10,0.015552099533437015,2
1 0 0 1 0 0,tnv 0 0 VB 0 0,London_Maria,10,0.015552099533437015,2
1 0 0 1 1 0,tnv 0 0 VB VS 0,London_Maria,10,0.015552099533437015,3
0 0 0 1 0 0,0 0 0 VB 0 0,Dundee_Clat,19,0.015899581589958158,1
0 0 0 1 1 0,0 0 0 VB VS 0,Dundee_Clat,19,0.015899581589958158,2
1 0 0 1 0 0,tnv 0 0 VB 0 0,Dundee_Clat,19,0.015899581589958158,2
1 0 0 1 1 0,tnv 0 0 VB VS 0,Dundee_Clat,19,0.015899581589958158,3
1 1 0 0 0 0,tnv DVF 0 0 0 0,Amsterdam_Wee,9,0.017341040462427744,2
1 1 0 0 1 0,tnv DVF 0 0 VS 0,Amsterdam_Wee,9,0.017341040462427744,3
0 0 0 1 0 0,0 0 0 VB 0 0,Birmingham_Maria,10,0.018281535648994516,1
0 0 0 1 1 0,0 0 0 VB VS 0,Birmingham_Maria,10,0.018281535648994516,2
1 0 0 1 0 0,tnv 0 0 VB 0 0,Birmingham_Maria,10,0.018281535648994516,2
1 0 0 1 1 0,tnv 0 0 VB VS 0,Birmingham_Maria,10,0.018281535648994516,3
1 1 0 0 0 0,tnv DVF 0 0 0 0,Exeter_Maria,3,0.018633540372670808,2
1 1 0 0 1 0,tnv DVF 0 0 VS 0,Exeter_Maria,3,0.018633540372670808,3
1 1 0 1 0 0,tnv DVF 0 VB 0 0,Amsterdam_Wee,10,0.019267822736030827,3
1 1 0 1 1 0,tnv DVF 0 VB VS 0,Amsterdam_Wee,10,0.019267822736030827,4
0 0 0 1 0 0,0 0 0 VB 0 0,Cardiff_Maria,12,0.01957585644371941,1
0 0 0 1 1 0,0 0 0 VB VS 0,Cardiff_Maria,12,0.01957585644371941,2
1 0 0 1 0 0,tnv 0 0 VB 0 0,Cardiff_Maria,12,0.01957585644371941,2
1 0 0 1 1 0,tnv 0 0 VB VS 0,Cardiff_Maria,12,0.01957585644371941,3
1 0 1 0 0 0,tnv 0 tv 0 0 0,Amsterdam_Wee,11,0.02119460500963391,2
1 0 1 0 1 0,tnv 0 tv 0 VS 0,Amsterdam_Wee,11,0.02119460500963391,3
0 0 0 1 0 0,0 0 0 VB 0 0,Edinburgh_Glen,51,0.023809523809523808,1
0 0 0 1 1 0,0 0 0 VB VS 0,Edinburgh_Glen,51,0.023809523809523808,2
1 0 0 1 0 0,tnv 0 0 VB 0 0,Edinburgh_Glen,51,0.023809523809523808,2
1 0 0 1 1 0,tnv 0 0 VB VS 0,Edinburgh_Glen,51,0.023809523809523808,3
1 1 0 0 0 0,tnv DVF 0 0 0 0,Cardiff_Maria,15,0.024469820554649267,2
1 1 0 0 1 0,tnv DVF 0 0 VS 0,Cardiff_Maria,15,0.024469820554649267,3
0 1 0 0 0 0,0 DVF 0 0 0 0,Exeter_Maria,4,0.024844720496894408,1
0 1 0 0 1 0,0 DVF 0 0 VS 0,Exeter_Maria,4,0.024844720496894408,2
1 0 1 0 0 0,tnv 0 tv 0 0 0,Nieuwkoop_DHB,19,0.025503355704697986,2
1 0 1 0 1 0,tnv 0 tv 0 VS 0,Nieuwkoop_DHB,19,0.025503355704697986,3
0 0 0 1 0 0,0 0 0 VB 0 0,Glasgow_Mil,5,0.02577319587628866,1
0 0 0 1 1 0,0 0 0 VB VS 0,Glasgow_Mil,5,0.02577319587628866,2
1 0 0 1 0 0,tnv 0 0 VB 0 0,Glasgow_Mil,5,0.02577319587628866,2
1 0 0 1 1 0,tnv 0 0 VB VS 0,Glasgow_Mil,5,0.02577319587628866,3
1 0 1 1 0 0,tnv 0 tv VB 0 0,Nieuwkoop_DHB,21,0.028187919463087248,3
1 0 1 1 1 0,tnv 0 tv VB VS 0,Nieuwkoop_DHB,21,0.028187919463087248,4
1 0 1 1 0 0,tnv 0 tv VB 0 0,Amsterdam_Wee,15,0.028901734104046242,3
1 0 1 1 1 0,tnv 0 tv VB VS 0,Amsterdam_Wee,15,0.028901734104046242,4
1 0 1 0 0 0,tnv 0 tv 0 0 0,Spannenburg,115,0.030568846358320044,2
1 0 1 0 1 0,tnv 0 tv 0 VS 0,Spannenburg,115,0.030568846358320044,3
1 1 0 0 0 0,tnv DVF 0 0 0 0,Spannenburg,116,0.03083466241360978,2
1 1 0 0 1 0,tnv DVF 0 0 VS 0,Spannenburg,116,0.03083466241360978,3
1 1 0 0 0 0,tnv DVF 0 0 0 0,Glasgow_Mil,6,0.030927835051546393,2
1 1 0 0 1 0,tnv DVF 0 0 VS 0,Glasgow_Mil,6,0.030927835051546393,3
1 0 0 1 0 0,tnv 0 0 VB 0 0,Aberdeen_Man,38,0.031799163179916316,2
1 0 0 1 1 0,tnv 0 0 VB VS 0,Aberdeen_Man,38,0.031799163179916316,3
