testing_set_index	precision	recall	F1	MCC	AUC	fungal_FP	bacterial_FP	viral_FN	toolcombo	numtools
1	0	0	0	0	0.5	0	0	1000	0 0 0 0 0 0	0
1	0	0	0	0	0.5	0	0	1000	0 1 0 0 0 0	1
2	0	0	0	0	0.5	0	0	1000	0 0 0 0 0 0	0
2	0	0	0	0	0.5	0	0	1000	0 1 0 0 0 0	1
3	0	0	0	0	0.5	0	0	1000	0 0 0 0 0 0	0
3	0	0	0	0	0.5	0	0	1000	0 1 0 0 0 0	1
4	0	0	0	0	0.5	0	0	1000	0 0 0 0 0 0	0
4	0	0	0	0	0.5	0	0	1000	0 1 0 0 0 0	1
5	0	0	0	0	0.5	0	0	1000	0 0 0 0 0 0	0
5	0	0	0	0	0.5	0	0	1000	0 1 0 0 0 0	1
6	0	0	0	0	0.5	0	0	1000	0 0 0 0 0 0	0
6	0	0	0	0	0.5	0	0	1000	0 1 0 0 0 0	1
7	0	0	0	0	0.5	0	0	1000	0 0 0 0 0 0	0
7	0	0	0	0	0.5	0	0	1000	0 1 0 0 0 0	1
8	0	0	0	0	0.5	0	0	1000	0 0 0 0 0 0	0
8	0	0	0	0	0.5	0	0	1000	0 1 0 0 0 0	1
9	0	0	0	0	0.5	0	0	1000	0 0 0 0 0 0	0
9	0	0	0	0	0.5	0	0	1000	0 1 0 0 0 0	1
10	0	0	0	0	0.5	0	0	1000	0 0 0 0 0 0	0
10	0	0	0	0	0.5	0	0	1000	0 1 0 0 0 0	1
9	0.3157894736842105	0.018	0.03405865657521286	0.053597683770789335	0.6873	0	6429	982	0 0 0 0 0 1	1
9	0.3157894736842105	0.018	0.03405865657521286	0.053597683770789335	0.6873	0	6429	982	0 1 0 0 0 1	2
2	0.3269230769230769	0.017	0.03231939163498099	0.053866610199530915	0.6943	0	6439	983	0 0 0 0 0 1	1
2	0.3269230769230769	0.017	0.03231939163498099	0.053866610199530915	0.6943	0	6439	983	0 1 0 0 0 1	2
3	0.3333333333333333	0.017	0.03235014272121789	0.054912441334031524	0.6776	0	6446	983	0 0 0 0 0 1	1
3	0.3333333333333333	0.017	0.03235014272121789	0.054912441334031524	0.6776	0	6446	983	0 1 0 0 0 1	2
4	0.34	0.017	0.03238095238095238	0.05592971451021046	0.6787	0	6439	983	0 0 0 0 0 1	1
4	0.34	0.017	0.03238095238095238	0.05592971451021046	0.6787	0	6439	983	0 1 0 0 0 1	2
1	0.3617021276595745	0.017	0.03247373447946514	0.05920376063822832	0.688	0	6434	983	0 0 0 0 0 1	1
1	0.3617021276595745	0.017	0.03247373447946514	0.05920376063822832	0.688	0	6434	983	0 1 0 0 0 1	2
10	0.3620689655172414	0.021	0.03969754253308129	0.0658923298665761	0.6911	0	6441	979	0 0 0 0 0 1	1
10	0.3620689655172414	0.021	0.03969754253308129	0.0658923298665761	0.6911	0	6441	979	0 1 0 0 0 1	2
6	0.4418604651162791	0.019	0.03643336529242569	0.07418377268239482	0.6869	0	6446	981	0 0 0 0 0 1	1
6	0.4418604651162791	0.019	0.03643336529242569	0.07418377268239482	0.6869	0	6446	981	0 1 0 0 0 1	2
8	0.43137254901960786	0.022	0.04186489058039961	0.07834668342581044	0.696	0	6447	978	0 0 0 0 0 1	1
8	0.43137254901960786	0.022	0.04186489058039961	0.07834668342581044	0.696	0	6447	978	0 1 0 0 0 1	2
5	0.49019607843137253	0.025	0.04757373929590866	0.09241659942710449	0.6957	0	6451	975	0 0 0 0 0 1	1
5	0.49019607843137253	0.025	0.04757373929590866	0.09241659942710449	0.6957	0	6451	975	0 1 0 0 0 1	2
7	0.45454545454545453	0.03	0.056285178236397754	0.09550209949863854	0.6964	0	6436	970	0 0 0 0 0 1	1
7	0.45454545454545453	0.03	0.056285178236397754	0.09550209949863854	0.6964	0	6436	970	0 1 0 0 0 1	2
2	0.32416396979503775	0.601	0.4211632796075683	0.3525836458184673	0.7872	0	5377	399	0 0 0 0 1 0	1
2	0.32416396979503775	0.601	0.4211632796075683	0.3525836458184673	0.7872	0	5377	399	0 1 0 0 1 0	2
10	0.33870040253018974	0.589	0.43008397225264694	0.36141857182230885	0.7943	0	5490	411	0 0 0 0 1 0	1
10	0.33870040253018974	0.589	0.43008397225264694	0.36141857182230885	0.7943	0	5490	411	0 1 0 0 1 0	2
10	0.6603260869565217	0.243	0.35526315789473684	0.36361771669352877	0.7367	0	6368	757	0 0 0 1 0 1	2
10	0.6603260869565217	0.243	0.35526315789473684	0.36361771669352877	0.7367	0	6368	757	0 1 0 1 0 1	3
10	0.7188498402555911	0.225	0.34272658035034276	0.36951795832227075	0.6074	0	6403	775	0 0 0 1 0 0	1
10	0.7188498402555911	0.225	0.34272658035034276	0.36951795832227075	0.6074	0	6403	775	0 1 0 1 0 0	2
2	0.33262599469496024	0.627	0.4346620450606586	0.36991720276048573	0.8175	0	5373	373	0 0 0 1 1 0	2
2	0.33262599469496024	0.627	0.4346620450606586	0.36991720276048573	0.8175	0	5373	373	0 1 0 1 1 0	3
10	0.34415954415954414	0.604	0.43847549909255895	0.37189415841713924	0.8075	0	5490	396	0 0 0 1 1 0	2
10	0.34415954415954414	0.604	0.43847549909255895	0.37189415841713924	0.8075	0	5490	396	0 1 0 1 1 0	3
9	0.3480278422273782	0.6	0.44052863436123346	0.3737329286149664	0.7977	0	5481	400	0 0 0 0 1 0	1
9	0.3480278422273782	0.6	0.44052863436123346	0.3737329286149664	0.7977	0	5481	400	0 1 0 0 1 0	2
2	0.33717277486910996	0.644	0.4426116838487973	0.3803797750671402	0.8323	156	5366	356	0 0 0 0 1 1	2
2	0.33717277486910996	0.644	0.4426116838487973	0.3803797750671402	0.8323	156	5366	356	0 1 0 0 1 1	3
2	0.3181011535048802	0.717	0.4406883835279656	0.3881860218965772	0.8935	75	5316	283	1 0 0 1 1 0	3
2	0.3181011535048802	0.717	0.4406883835279656	0.3881860218965772	0.8935	75	5316	283	1 1 0 1 1 0	4
2	0.318808359270787	0.717	0.44136657433056325	0.388903630845829	0.8909	75	5320	283	1 0 0 0 1 0	2
