testing_set_index	precision	recall	F1	MCC	AUC	fungal_FP	protist_FP	bacterial_FP	viral_FN	toolcombo	numtools
1	0	0	0	0	0.969	0	0	0	1000	0 0 1 0 0 0	1
2	0	0	0	0	0.9683	0	0	0	1000	0 0 1 0 0 0	1
3	0	0	0	0	0.9668	0	0	0	1000	0 0 1 0 0 0	1
4	0	0	0	0	0.9658	0	0	0	1000	0 0 1 0 0 0	1
5	0	0	0	0	0.9715	0	0	0	1000	0 0 1 0 0 0	1
6	0	0	0	0	0.9714	0	0	0	1000	0 0 1 0 0 0	1
6	0	0	0	0	0.9725	0	0	0	829	0 0 1 1 0 0	2
6	0	0	0	0	0.9582	0	0	0	943	0 1 1 0 0 0	2
7	0	0	0	0	0.9706	0	0	0	1000	0 0 1 0 0 0	1
8	0	0	0	0	0.9684	0	0	0	1000	0 0 1 0 0 0	1
9	0	0	0	0	0.9651	0	0	0	1000	0 0 1 0 0 0	1
10	0	0	0	0	0.9729	0	0	0	1000	0 0 1 0 0 0	1
10	0.15800865800865802	0.073	0.09986320109439124	0.039859820051859056	0.5341	160	284	6358	927	0 1 0 0 0 0	1
6	0.16494845360824742	0.08	0.10774410774410775	0.04602954038316446	0.5344	149	283	6344	920	0 1 0 0 0 0	1
7	0.1732776617954071	0.083	0.11223799864773495	0.05207579961888142	0.5335	160	279	6355	917	0 1 0 0 0 0	1
9	0.17796610169491525	0.084	0.1141304347826087	0.05511797630548298	0.5403	155	287	6362	916	0 1 0 0 0 0	1
5	0.17635270541082165	0.088	0.11741160773849231	0.05558205479601862	0.5388	155	281	6347	912	0 1 0 0 0 0	1
2	0.17842323651452283	0.086	0.11605937921727394	0.05606560593855954	0.5422	152	281	6355	914	0 1 0 0 0 0	1
8	0.18604651162790697	0.088	0.11948404616429056	0.0612598609385092	0.5392	158	279	6368	912	0 1 0 0 0 0	1
3	0.18737270875763748	0.092	0.12340710932260227	0.0635370521523252	0.5342	154	277	6369	908	0 1 0 0 0 0	1
4	0.19301848049281314	0.094	0.12642905178211164	0.06747443428327198	0.5427	167	283	6355	906	0 1 0 0 0 0	1
1	0.19387755102040816	0.095	0.12751677852348994	0.06836024179095068	0.5352	165	279	6354	905	0 1 0 0 0 0	1
10	0.23487031700288186	0.163	0.19244391971664698	0.11969986955935624	0.7542	160	284	6217	837	0 1 0 0 1 0	2
4	0.24623803009575923	0.18	0.20797227036395147	0.13379342970223507	0.7861	167	283	6205	820	0 1 0 0 1 0	2
9	0.2479108635097493	0.178	0.20721769499417927	0.13399745949565378	0.7681	155	286	6216	822	0 1 0 0 1 0	2
6	0.2532005689900427	0.178	0.20904286553141516	0.13728536500305122	0.7733	149	282	6230	822	0 1 0 0 1 0	2
4	0.6440677966101694	0.038	0.07176581680830972	0.13904306839095193	0.9598	0	0	6449	962	0 0 1 0 1 0	2
4	0.37339055793991416	0.087	0.1411192214111922	0.13914102280197208	0.754	0	0	6329	913	0 0 0 0 1 0	1
2	0.25770308123249297	0.184	0.21470245040840139	0.1426694479301247	0.7669	152	280	6232	816	0 1 0 0 1 0	2
7	0.2543741588156124	0.189	0.21686746987951808	0.14268112819197343	0.7691	160	279	6204	811	0 1 0 0 1 0	2
1	0.2569060773480663	0.186	0.21577726218097448	0.14308696308380514	0.7805	165	279	6216	814	0 1 0 0 1 0	2
3	0.25753424657534246	0.188	0.21734104046242775	0.1443685495925108	0.7764	154	276	6233	812	0 1 0 0 1 0	2
