seqname	dsDNAphage	ssDNA	max_score	max_score_group	length	hallmark	viral	cellular
virus--NC_002190.2||full	0.533	0.907	0.907	ssDNA	3581	0	50.000	0.000
virus--NC_004828.1||full	0.873	0.920	0.920	ssDNA	4481	0	100.000	0.000
virus--NC_004065.1||full	0.587	0.233	0.587	dsDNAphage	230046	0	67.400	0.000
virus--NC_009551.1||full	0.993	0.073	0.993	dsDNAphage	42988	8	51.200	2.400
virus--NC_028655.1||full	1.000	0.160	1.000	dsDNAphage	38818	11	89.600	0.000
virus--NC_030914.1||full	1.000	0.040	1.000	dsDNAphage	74290	7	25.000	1.100
virus--NC_042113.1||full	0.993	0.293	0.993	dsDNAphage	92232	16	86.600	0.000
virus--NC_043445.1||full	0.620	0.313	0.620	dsDNAphage	11377	0	80.000	0.000
virus--NC_049840.1||full	0.993	0.193	0.993	dsDNAphage	49915	16	74.400	0.000
virus--NC_048820.1||full	1.000	0.020	1.000	dsDNAphage	75774	8	26.500	2.000
virus--NC_049824.1||full	0.993	0.253	0.993	dsDNAphage	50635	15	81.200	0.000
virus--3300007540_____Ga0099847_1000087||full	0.980	0.847	0.980	dsDNAphage	26341	1	61.900	0.000
virus--3300010885_____Ga0133913_10013708||full	0.813	0.773	0.813	dsDNAphage	21314	0	40.000	0.000
virus--Tp1_100_DCM_0-0d2_scaffold66130_1||full	1.000	0.033	1.000	dsDNAphage	43557	1	24.500	0.000
virus--Tp1_111_DCM_0-0d2_scaffold112609_1||full	0.993	0.107	0.993	dsDNAphage	87101	13	43.700	0.700
virus--Tp1_56_MES_0-0d2_scaffold3874_1||full	1.000	0.033	1.000	dsDNAphage	46204	8	34.700	0.000
virus--Unbinned_2819_contig-100_4||full	1.000	0.660	1.000	dsDNAphage	31691	3	92.600	0.000
virus--Unbinned_4497_contig-100_0||full	1.000	0.513	1.000	dsDNAphage	36504	11	94.600	0.000
virus--2061766007_____rumenHiSeq_NODE_76878_len_67173_cov_3_213613||full	0.993	0.340	0.993	dsDNAphage	67204	3	36.200	0.900
virus--2124908035_____B3_GZOS_CLC_ConsensusfromContig804||full	1.000	0.013	1.000	dsDNAphage	55326	2	28.900	2.200
virus--3300000103_____IMNBL5_c1000075||full	1.000	0.027	1.000	dsDNAphage	31830	6	42.900	5.700
virus--3300000929_____NpDRAFT_10001938||full	1.000	0.200	1.000	dsDNAphage	38724	8	52.200	2.200
virus--3300000968_____BBAY80_10000006||full	0.980	0.033	0.980	dsDNAphage	58533	3	28.800	1.400
virus--3300001200_____BBAY65_10000489||full	1.000	0.153	1.000	dsDNAphage	38497	6	46.600	0.000
virus--3300001598_____EMG_10001096||full	0.993	0.267	0.993	dsDNAphage	48407	8	53.200	1.300
virus--3300002052_____SMTZ1_10000020||full	1.000	0.040	1.000	dsDNAphage	98915	2	25.800	1.300
virus--3300002053_____SMTZ23_10000157||full	1.000	0.020	1.000	dsDNAphage	155817	14	35.700	2.800
virus--3300002097_____C687J26620_1000004||full	1.000	0.013	1.000	dsDNAphage	155258	9	26.500	1.800
virus--3300002120_____C687J26616_10000003||full	1.000	0.220	1.000	dsDNAphage	78430	3	21.200	0.000
virus--3300002403_____B570J29609_1000001||full	0.993	0.100	0.993	dsDNAphage	56580	4	66.200	1.400
virus--3300002597_____DRAFT_10004234||full	0.993	0.127	0.993	dsDNAphage	33472	4	44.100	0.000
virus--3300004154_____Ga0066603_10000238||full	1.000	0.020	1.000	dsDNAphage	44918	5	33.300	4.000
virus--3300004174_____Ga0066406_1000004||full	1.000	0.033	1.000	dsDNAphage	44105	10	54.700	1.300
virus--3300004770_____Ga0007804_1000139||full	1.000	0.307	1.000	dsDNAphage	27951	4	30.000	0.000
virus--3300004772_____Ga0007791_10000020||full	0.993	0.153	0.993	dsDNAphage	34298	2	52.200	0.000
virus--3300005143_____Ga0008833_1000240||full	0.993	0.080	0.993	dsDNAphage	74233	6	61.800	1.300
virus--3300005289_____Ga0065704_10070313||full	1.000	0.007	1.000	dsDNAphage	34540	7	53.300	2.200
virus--3300005294_____Ga0065705_10104185||full	1.000	0.080	1.000	dsDNAphage	42664	3	20.000	0.000
virus--3300005323_____Ga0074198_1000401||full	0.960	0.000	0.960	dsDNAphage	47912	3	26.700	1.700
virus--3300005326_____Ga0074195_1000696||full	1.000	0.073	1.000	dsDNAphage	59511	2	19.500	0.800
virus--3300005326_____Ga0074195_1001133||full	0.993	0.120	0.993	dsDNAphage	40423	10	38.500	0.000
virus--3300005326_____Ga0074195_1001142||full	1.000	0.040	1.000	dsDNAphage	40166	7	37.500	0.000
virus--3300005365_____Ga0070688_100000019||full	0.987	0.127	0.987	dsDNAphage	71744	1	34.700	1.000
virus--3300005441_____Ga0070700_100000198||full	0.993	0.020	0.993	dsDNAphage	33973	8	37.300	2.000
virus--3300005445_____Ga0070708_100000162||full	0.973	0.027	0.973	dsDNAphage	47281	5	27.200	2.500
virus--3300005459_____Ga0068867_100000069||full	1.000	0.007	1.000	dsDNAphage	62774	5	28.300	11.100
virus--3300005466_____Ga0070685_10000170||full	0.987	0.007	0.987	dsDNAphage	43113	5	32.200	5.100
virus--3300005466_____Ga0070685_10000266||full	1.000	0.087	1.000	dsDNAphage	33621	7	42.300	1.900
virus--3300005468_____Ga0070707_100000348||full	0.980	0.007	0.980	dsDNAphage	45385	4	26.200	3.100
virus--3300005518_____Ga0070699_100000469||full	1.000	0.067	1.000	dsDNAphage	38510	1	23.600	0.000
virus--3300005525_____Ga0068877_10000439||full	1.000	0.353	1.000	dsDNAphage	35869	7	42.600	0.000
virus--3300005527_____Ga0068876_10000457||full	1.000	0.073	1.000	dsDNAphage	33559	5	36.800	0.000
virus--3300005529_____Ga0070741_10002823||full	1.000	0.047	1.000	dsDNAphage	45118	7	38.100	0.000
virus--3300005537_____Ga0070730_10000223||full	0.980	0.027	0.980	dsDNAphage	72470	1	45.300	1.300
virus--3300005543_____Ga0070672_100000153||full	1.000	0.007	1.000	dsDNAphage	37886	5	33.300	1.900
virus--3300005544_____Ga0070686_100000073||full	0.840	0.000	0.840	dsDNAphage	75299	0	14.500	1.600
virus--3300005546_____Ga0070696_100000045||full	0.987	0.013	0.987	dsDNAphage	56818	1	29.300	1.200
virus--3300005563_____Ga0068855_100000087||full	0.953	0.020	0.953	dsDNAphage	110848	4	19.100	2.500
virus--3300005563_____Ga0068855_100000655||full	0.987	0.013	0.987	dsDNAphage	42171	3	21.400	2.900
virus--3300005564_____Ga0070664_100000023||full	0.987	0.013	0.987	dsDNAphage	97684	6	29.900	2.500
virus--3300005600_____Ga0070726_10000658||full	1.000	0.047	1.000	dsDNAphage	39908	5	46.600	0.000
virus--3300005601_____Ga0070722_10000011||full	1.000	0.093	1.000	dsDNAphage	142251	29	88.900	0.000
virus--3300005612_____Ga0070723_10000060||full	1.000	0.067	1.000	dsDNAphage	38562	5	29.400	0.000
virus--3300005613_____Ga0074649_1001054||full	1.000	0.607	1.000	dsDNAphage	34202	4	48.000	0.000
virus--3300005614_____Ga0068856_100000043||full	0.960	0.020	0.960	dsDNAphage	111839	3	18.500	2.600
virus--3300005662_____Ga0078894_10000323||full	1.000	0.593	1.000	dsDNAphage	32390	2	70.200	0.000
virus--3300005677_____Ga0074426_100134||full	1.000	0.007	1.000	dsDNAphage	99262	7	32.200	0.700
virus--3300005680_____Ga0074429_1000193||full	1.000	0.053	1.000	dsDNAphage	66071	10	52.600	1.300
virus--3300005683_____Ga0074432_100346||full	1.000	0.033	1.000	dsDNAphage	30163	7	34.000	4.300
virus--3300005805_____Ga0079957_1000575||full	1.000	0.560	1.000	dsDNAphage	32694	5	74.500	0.000
virus--3300005861_____Ga0080006_1137376||full	1.000	0.860	1.000	dsDNAphage	16225	2	39.300	0.000
virus--3300005918_____Ga0075116_10000024||full	1.000	0.020	1.000	dsDNAphage	68556	14	36.900	7.200
virus--3300005918_____Ga0075116_10000118||full	1.000	0.047	1.000	dsDNAphage	36558	3	45.300	1.900
virus--3300006025_____Ga0075474_10000089||full	1.000	0.013	1.000	dsDNAphage	27818	7	32.500	0.000
virus--3300006028_____Ga0070717_10000077||full	0.927	0.000	0.927	dsDNAphage	82148	4	16.900	5.900
virus--3300006030_____Ga0075470_10000327||full	1.000	0.140	1.000	dsDNAphage	15795	5	71.400	0.000
virus--3300006052_____Ga0075029_100000019||full	1.000	0.007	1.000	dsDNAphage	62833	4	25.900	3.700
virus--3300006056_____Ga0075163_10000182||full	1.000	0.200	1.000	dsDNAphage	74286	7	56.800	0.000
virus--3300006059_____Ga0075017_100000070||full	1.000	0.020	1.000	dsDNAphage	40714	3	25.400	1.600
virus--3300006103_____Ga0007813_1000076||full	1.000	0.387	1.000	dsDNAphage	32971	9	81.000	0.000
virus--3300006111_____Ga0007848_1000044||full	0.993	0.200	0.993	dsDNAphage	58817	4	57.500	0.000
virus--3300006111_____Ga0007848_1000103||full	0.933	0.007	0.933	dsDNAphage	36350	5	36.400	4.500
virus--3300006224_____Ga0079037_100000020||full	1.000	0.013	1.000	dsDNAphage	47098	6	31.900	2.900
virus--3300006353_____Ga0075370_10000019||full	0.993	0.153	0.993	dsDNAphage	57725	11	41.900	0.000
virus--3300006358_____Ga0068871_100000035||full	0.993	0.047	0.993	dsDNAphage	70852	5	41.500	0.000
virus--3300006641_____Ga0075471_10000091||full	0.980	0.033	0.980	dsDNAphage	40926	1	28.300	0.000
virus--3300006802_____Ga0070749_10000139||full	0.820	0.020	0.820	dsDNAphage	40960	0	23.400	1.600
virus--3300006853_____Ga0075420_100000154||full	0.993	0.020	0.993	dsDNAphage	48386	1	19.700	0.000
virus--3300006916_____Ga0070750_10000082||full	1.000	0.347	1.000	dsDNAphage	41249	12	94.700	0.000
virus--3300006917_____Ga0075472_10000022||full	1.000	0.220	1.000	dsDNAphage	47849	3	26.800	0.000
virus--3300006919_____Ga0070746_10000197||full	0.993	0.033	0.993	dsDNAphage	34103	4	51.600	4.800
virus--3300007194_____Ga0103269_100203||full	0.993	0.067	0.993	dsDNAphage	54358	6	55.600	0.000
virus--3300007344_____Ga0070745_1000374||full	1.000	0.013	1.000	dsDNAphage	27818	7	32.500	0.000
virus--3300007640_____Ga0070751_1000121||full	1.000	0.407	1.000	dsDNAphage	62523	7	84.000	0.000
