protein,scaffold,KO,AMG,KO name,KO evalue,KO score,KO v-score,Pfam,Pfam name,Pfam evalue,Pfam score,Pfam v-score,VOG,VOG name,VOG evalue,VOG score,VOG v-score,coloring_annotation
plasmid--NZ_AP017612.1_1,plasmid--NZ_AP017612.1,,,,,,,PF01051.21,Initiator Replication protein,1.30E-24,90.1,0.08,VOG11335,sp|P0A253|REP12_SALTI RepFIB replication protein A,1.20E-108,365.4,0.13,phage non-structural
plasmid--NZ_AP017612.1_2,plasmid--NZ_AP017612.1,,,,,,,,,,,,VOG00914,REFSEQ hypothetical protein,2.00E-18,68.6,2.49,VOG hypothetical
plasmid--NZ_AP017612.1_3,plasmid--NZ_AP017612.1,,,,,,,,,,,,,,,,,unidentified
plasmid--NZ_AP017612.1_4,plasmid--NZ_AP017612.1,,,,,,,,,,,,,,,,,unidentified
plasmid--NZ_AP017612.1_5,plasmid--NZ_AP017612.1,,,,,,,,,,,,VOG12706,REFSEQ hypothetical protein,1.20E-41,143.7,0.72,VOG hypothetical
plasmid--NZ_AP017612.1_6,plasmid--NZ_AP017612.1,,,,,,,,,,,,,,,,,unidentified
plasmid--NZ_AP017612.1_7,plasmid--NZ_AP017612.1,,,,,,,PF10765.9,Protein of unknown function (DUF2591),8.30E-15,57.9,0.62,VOG11723,sp|Q38665|NINX_BPP22 Putative protein ninX,2.90E-25,91,1.8,VOG hypothetical
plasmid--NZ_AP017612.1_8,plasmid--NZ_AP017612.1,,,,,,,,,,,,VOG13567,REFSEQ hypothetical protein,2.30E-68,231.1,0.23,VOG hypothetical
plasmid--NZ_AP017612.1_9,plasmid--NZ_AP017612.1,,,,,,,,,,,,VOG12450,REFSEQ hypothetical protein,2.30E-49,170.5,0.45,VOG hypothetical
plasmid--NZ_AP017612.1_10,plasmid--NZ_AP017612.1,,,,,,,PF18406.1,Ferredoxin-like domain in Api92-like protein,3.30E-16,61.6,0.02,,,,,,unidentified
plasmid--NZ_AP017612.1_11,plasmid--NZ_AP017612.1,K04087,,hflC; membrane protease subunit HflC [EC:3.4.-.-],6.60E-11,46.3,0.75,PF01145.25,SPFH domain / Band 7 family,4.80E-23,84.9,1.29,VOG01564,REFSEQ hypothetical protein,1.30E-67,230.8,7.59,VOG hypothetical
plasmid--NZ_AP017612.1_12,plasmid--NZ_AP017612.1,,,,,,,,,,,,VOG11116,REFSEQ hypothetical protein,2.30E-14,55.5,0.36,VOG hypothetical
plasmid--NZ_AP017612.1_13,plasmid--NZ_AP017612.1,K03553,,recA; recombination protein RecA,3.00E-57,199.2,2.34,PF00154.21,recA bacterial DNA recombination protein,3.20E-42,147.7,1.81,VOG01109,sp|P04529|UVSX_BPT4 Recombination and repair protein,2.60E-74,252.8,10,phage non-structural
plasmid--NZ_AP017612.1_14,plasmid--NZ_AP017612.1,,,,,,,,,,,,,,,,,unidentified
plasmid--NZ_AP017612.1_15,plasmid--NZ_AP017612.1,K01146,,xni; protein Xni,3.50E-17,67.2,0.7,PF02739.16,"5'-3' exonuclease, N-terminal resolvase-like domain",2.20E-23,85.7,0.94,VOG03061,sp|P13319|RNH_BPT4 Ribonuclease H,3.90E-26,94.6,10,phage non-structural
plasmid--NZ_AP017612.1_16,plasmid--NZ_AP017612.1,,,,,,,PF08804.10,gp32 DNA binding protein like,2.00E-58,200.8,1.57,VOG02465,sp|P09035|VHED_BPT2 Single-stranded DNA-binding protein (Fragment),4.90E-33,117.8,10,phage non-structural
plasmid--NZ_AP017612.1_17,plasmid--NZ_AP017612.1,,,,,,,,,,,,VOG02575,REFSEQ hypothetical protein,9.50E-33,115.6,3.25,VOG hypothetical
plasmid--NZ_AP017612.1_18,plasmid--NZ_AP017612.1,K02337,,dnaE; DNA polymerase III subunit alpha [EC:2.7.7.7],1.30E-249,836.7,1.36,PF07733.12,Bacterial DNA polymerase III alpha NTPase domain,3.00E-72,246.2,1.02,VOG00728,sp|O67125|DPO3A_AQUAE DNA polymerase III subunit alpha,1.70E-253,846.6,5.27,phage non-structural
plasmid--NZ_AP017612.1_19,plasmid--NZ_AP017612.1,K09882,AMG,cobS; cobaltochelatase CobS [EC:6.6.1.2],2.00E-92,315.3,0.92,PF07728.14,AAA domain (dynein-related subfamily),5.50E-15,58.4,1.03,VOG01029,sp|Q58294|RFCL_METJA Replication factor C large subunit,1.60E-36,128.7,9.64,phage non-structural
plasmid--NZ_AP017612.1_20,plasmid--NZ_AP017612.1,K09883,AMG,cobT; cobaltochelatase CobT [EC:6.6.1.2],5.20E-43,152.5,0.07,PF11775.8,Cobalamin biosynthesis protein CobT VWA domain,1.10E-79,270,0.06,VOG01493,REFSEQ peptidase,3.80E-112,378.7,4.87,phage non-structural
plasmid--NZ_AP017612.1_21,plasmid--NZ_AP017612.1,,,,,,,,,,,,,,,,,unidentified
plasmid--NZ_AP017612.1_22,plasmid--NZ_AP017612.1,,,,,,,,,,,,,,,,,unidentified
plasmid--NZ_AP017612.1_23,plasmid--NZ_AP017612.1,K04763,,xerD; integrase/recombinase XerD,3.70E-09,41.1,2.87,,,,,,VOG00041,sp|O10330|VLF1_NPVOP Very late expression factor 1,2.70E-27,98.6,10,phage non-structural
plasmid--NZ_AP017612.1_24,plasmid--NZ_AP017612.1,K03674,,grxA; glutaredoxin 1,7.90E-32,113.8,0.31,PF00462.24,Glutaredoxin,1.20E-11,47.4,1.01,VOG00051,sp|P68692|GLRX1_VACCW Glutaredoxin-1,5.80E-13,51.5,10,phage non-structural
plasmid--NZ_AP017612.1_25,plasmid--NZ_AP017612.1,,,,,,,,,,,,,,,,,unidentified
plasmid--NZ_AP017612.1_26,plasmid--NZ_AP017612.1,,,,,,,,,,,,,,,,,unidentified
plasmid--NZ_AP017612.1_27,plasmid--NZ_AP017612.1,,,,,,,,,,,,,,,,,unidentified
plasmid--NZ_AP017612.1_28,plasmid--NZ_AP017612.1,,,,,,,,,,,,,,,,,unidentified
plasmid--NZ_AP017612.1_29,plasmid--NZ_AP017612.1,,,,,,,,,,,,,,,,,unidentified
plasmid--NZ_AP017612.1_30,plasmid--NZ_AP017612.1,K01971,,ligD; bifunctional non-homologous end joining protein LigD [EC:6.5.1.1],9.20E-16,61.9,0.09,PF01068.21,ATP dependent DNA ligase domain,1.60E-11,47.1,1.8,VOG00079,sp|P00970|DNLI_BPT4 DNA ligase,1.80E-63,217.2,10,phage non-structural
plasmid--NZ_AP017612.1_31,plasmid--NZ_AP017612.1,,,,,,,,,,,,,,,,,unidentified
plasmid--NZ_AP017612.1_32,plasmid--NZ_AP017612.1,,,,,,,,,,,,,,,,,unidentified
plasmid--NZ_AP017612.1_33,plasmid--NZ_AP017612.1,K02316,,dnaG; DNA primase [EC:2.7.7.101],2.80E-15,60.9,3.37,,,,,,VOG00056,sp|P04520|PRIM_BPT4 DNA primase,1.10E-36,129.4,10,phage non-structural
plasmid--NZ_AP017612.1_34,plasmid--NZ_AP017612.1,K02314,,dnaB; replicative DNA helicase [EC:3.6.4.12],3.30E-20,76.9,5.15,PF03796.15,DnaB-like helicase C terminal domain,3.00E-11,46,5.28,VOG00709,sp|P03692|PRIM_BPT7 DNA primase/helicase,2.90E-90,306,1.53,phage non-structural
plasmid--NZ_AP017612.1_35,plasmid--NZ_AP017612.1,,,,,,,,,,,,VOG14354,REFSEQ hypothetical protein,6.60E-106,355.8,0.06,VOG hypothetical
plasmid--NZ_AP017612.1_36,plasmid--NZ_AP017612.1,,,,,,,,,,,,,,,,,unidentified
plasmid--NZ_AP017612.1_37,plasmid--NZ_AP017612.1,,,,,,,,,,,,,,,,,unidentified
plasmid--NZ_AP017612.1_38,plasmid--NZ_AP017612.1,K03496,,"parA, soj; chromosome partitioning protein",8.20E-29,105.8,0.85,PF09140.11,ATPase MipZ,1.60E-12,50.2,0.01,VOG10286,sp|P07620|PARA_ECOLX Plasmid partition protein A,5.50E-33,117.1,2.49,phage structural
