seqname	dsDNAphage	ssDNA	max_score	max_score_group	length	hallmark	viral	cellular
NC_001895.1||full	1.000	0.087	1.000	dsDNAphage	33380	21	83.300	2.400
NC_002671.1||full	0.980	0.020	0.980	dsDNAphage	14720	1	50.000	3.800
NC_002661.2||full	0.993	0.193	0.993	dsDNAphage	42684	13	92.600	0.000
NC_003387.1||full	1.000	0.373	1.000	dsDNAphage	52637	13	80.200	0.000
NC_001884.1||full	0.960	0.000	0.960	dsDNAphage	134182	7	42.700	9.000
NC_002669.1||full	0.980	0.027	0.980	dsDNAphage	14348	1	40.000	12.000
NC_003219.1||full	0.293	0.873	0.873	ssDNA	1709	0	50.000	0.000
NC_001401.2||full	0.840	0.927	0.927	ssDNA	4410	0	100.000	0.000
NC_000936.1||full	0.573	0.780	0.780	ssDNA	5131	0	66.700	0.000
NC_002486.1||full	1.000	0.160	1.000	dsDNAphage	45499	12	85.300	0.000
NC_002670.1||full	0.800	0.007	0.800	dsDNAphage	10792	0	36.400	9.100
NC_001493.2||full	0.887	0.007	0.887	dsDNAphage	115133	3	26.800	0.000
NC_001899.1||full	0.693	0.847	0.847	ssDNA	5852	0	60.000	0.000
NC_001901.1||full	1.000	0.020	1.000	dsDNAphage	46319	20	91.500	3.400
NC_003345.2||full	1.000	0.453	1.000	dsDNAphage	77275	9	92.900	0.000
NC_004286.1||full	0.627	0.887	0.887	ssDNA	5462	0	100.000	0.000
NC_005091.2||full	1.000	0.167	1.000	dsDNAphage	56842	19	63.400	0.000
NC_004686.2||full	1.000	0.747	1.000	dsDNAphage	56165	15	80.000	0.000
NC_004682.2||full	1.000	0.473	1.000	dsDNAphage	49711	19	90.400	0.000
NC_004745.1||full	1.000	0.087	1.000	dsDNAphage	30522	21	89.700	2.600
NC_004927.2||full	1.000	0.407	1.000	dsDNAphage	75501	9	92.900	0.000
NC_001729.1||full	0.720	0.733	0.733	ssDNA	4419	0	100.000	0.000
NC_003298.1||full	1.000	0.267	1.000	dsDNAphage	37744	11	97.700	0.000
NC_002668.1||full	1.000	0.140	1.000	dsDNAphage	36101	15	77.200	0.000
NC_004831.2||full	1.000	0.400	1.000	dsDNAphage	43412	8	98.000	0.000
NC_003907.2||full	1.000	0.260	1.000	dsDNAphage	45126	6	47.200	0.000
NC_004777.1||full	1.000	0.213	1.000	dsDNAphage	36760	12	97.700	0.000
NC_003521.1||full	0.580	0.213	0.580	dsDNAphage	240790	0	75.400	1.800
NC_003278.1||full	1.000	0.020	1.000	dsDNAphage	34785	20	69.800	4.700
NC_002512.2||full	0.593	0.187	0.593	dsDNAphage	229633	0	62.900	0.000
NC_002190.2||full	0.533	0.907	0.907	ssDNA	3581	0	50.000	0.000
NC_004828.1||full	0.873	0.920	0.920	ssDNA	4481	0	100.000	0.000
NC_001604.1||full	0.993	0.140	0.993	dsDNAphage	39538	12	94.000	0.000
NC_006147.2||full	0.987	1.000	1.000	ssDNA	4648	0	100.000	0.000
NC_006260.1||full	0.907	0.940	0.940	ssDNA	4435	0	100.000	0.000
NC_005889.1||full	0.953	0.993	0.993	ssDNA	4426	0	100.000	0.000
NC_006152.1||full	0.967	1.000	1.000	ssDNA	4381	0	100.000	0.000
NC_005880.2||full	0.993	0.173	0.993	dsDNAphage	139635	32	87.400	0.500
NC_001271.1||full	1.000	0.260	1.000	dsDNAphage	39108	11	97.800	0.000
NC_003356.1||full	1.000	0.020	1.000	dsDNAphage	42244	18	81.000	1.600
NC_001364.1||full	0.580	0.360	0.580	dsDNAphage	11486	0	80.000	0.000
