index	scaffold	type	Quality
1	virus--3300009011_____Ga0105251_10000651--fragment_5	lysogenic	low quality draft
1	virus--NC_030936.1--fragment_13	lysogenic	low quality draft
1	virus--Gammaproteobacteria_gi_545237221--fragment_10	lysogenic	low quality draft
1	virus--3300013104_____Ga0157370_10000006--fragment_34	lysogenic	low quality draft
1	virus--3300008079_____Ga0105956_100038--fragment_17	lysogenic	low quality draft
1	virus--NC_014458.1--fragment_10	lysogenic	low quality draft
1	virus--3300008664_____Ga0111493_100551--fragment_5	lysogenic	low quality draft
1	virus--3300014050_____Ga0119952_1000096--fragment_11	lysogenic	low quality draft
1	virus--2061766007_____rumenHiSeq_NODE_2089650_len_93670_cov_8_562090--fragment_22	lysogenic	low quality draft
1	virus--NC_048173.1--fragment_54	lysogenic	low quality draft
1	virus--3300002092_____JGI24218J26658_1000216--fragment_8	lysogenic	low quality draft
1	virus--3300005918_____Ga0075116_10000024--fragment_17	lysogenic	low quality draft
1	virus--3300011912_____Ga0121678_100150--fragment_3	lysogenic	low quality draft
1	virus--3300007853_____Ga0114093_100467--fragment_8	lysogenic	low quality draft
1	virus--NC_030936.1--fragment_16	lysogenic	low quality draft
1	virus--NC_008152.1--fragment_5	lysogenic	low quality draft
1	virus--3300017420_____Ga0182228_1000019--fragment_9	lysogenic	low quality draft
1	virus--3300011651_____Ga0120825_100030--fragment_23	lysogenic	low quality draft
1	virus--3300006803_____Ga0075467_10000259--fragment_8	lysogenic	low quality draft
1	virus--3300013840_____Ga0117828_10003--fragment_2	lysogenic	low quality draft
1	virus--3300009551_____Ga0105238_10000169--fragment_1	lysogenic	low quality draft
1	virus--Gammaproteobacteria_gi_476381307-1271409-1312120--fragment_9	lysogenic	low quality draft
1	virus--Gammaproteobacteria_gi_417230772-0-43149--fragment_5	lysogenic	low quality draft
1	virus--NC_054812.1--fragment_12	lysogenic	low quality draft
1	virus--3300009646_____Ga0116132_1000238--fragment_10	lysogenic	low quality draft
1	virus--3300002483_____JGI25132J35274_1000036--fragment_8	lysogenic	low quality draft
1	virus--Tp1_38_OMZ_0-0d2_C1907828_1--fragment_15	lysogenic	low quality draft
1	virus--3300002546_____JGI25318J35512_1000241--fragment_8	lysogenic	low quality draft
1	virus--NC_028744.1--fragment_10	lysogenic	low quality draft
1	virus--3300010354_____Ga0129333_10000083--fragment_8	lysogenic	low quality draft
1	virus--3300007654_____Ga0105017_100358--fragment_3	lysogenic	low quality draft
1	virus--NC_051705.1--fragment_8	lysogenic	low quality draft
1	virus--NC_031055.1--fragment_11	lysogenic	low quality draft
1	virus--3300009085_____Ga0105103_10000132--fragment_6	lysogenic	low quality draft
1	virus--NC_049483.1--fragment_2	lysogenic	low quality draft
1	virus--NC_048748.1--fragment_5	lysogenic	low quality draft
1	virus--NC_013650.1--fragment_28	lysogenic	low quality draft
