contig,kaiju_match_ratio,keep_score_all,keep_score_high_recall,keep_score_high_MCC
Aberdeen_Man_0000013,0.0030661015420687166,3.5,3.5,3.5
Aberdeen_Man_0000026,0.0069299603041108795,3.5,3.5,3.5
Aberdeen_Man_0000030,0.0057929213922565505,3.5,3.5,3.5
Aberdeen_Man_0000034,NA,3,3,3
Aberdeen_Man_0000038,0.004632554221941461,3.5,3.5,3.5
Aberdeen_Man_0000041,0.006521797236254778,3.5,3.5,3.5
Aberdeen_Man_0000050,0.005048368446287052,3.5,3.5,3.5
Aberdeen_Man_0000067,0.006683671822027058,2.5,2.5,2.5
Aberdeen_Man_0000071,0.0044042574488672385,4,4,4
Aberdeen_Man_0000001,NA,3.5,3.5,3.5
Aberdeen_Man_0000002,0.0036037556978299546,1.5,1.5,1.5
Aberdeen_Man_0000003,0.0016981532583315645,2,2,2
Aberdeen_Man_0000004,0.001905356073954794,3.5,3.5,3.5
Aberdeen_Man_0000005,0.0013660905956588676,1,1,1
Aberdeen_Man_0000006,0.0017480887562931196,1.5,1.5,1.5
Aberdeen_Man_0000007,0.002793482764612321,0.5,0.5,0.5
Aberdeen_Man_0000008,0.0031388570574460667,3,3,3
Aberdeen_Man_0000010,0.002410516093229745,3.5,3.5,3.5
Aberdeen_Man_0000012,0.002815486971647867,3.5,3.5,3.5
Aberdeen_Man_0000014,0.0055783094571804515,1,1,1
Aberdeen_Man_0000016,0.0114081454158269,1.5,1.5,1.5
Aberdeen_Man_0000017,0.0023779143950817773,0.5,0.5,0.5
Aberdeen_Man_0000018,0.0027176608279938902,0.5,0.5,0.5
Aberdeen_Man_0000019,0.0050446814643989625,2.5,2.5,2.5
Aberdeen_Man_0000020,0.0033027446225882646,1.5,1.5,1.5
Aberdeen_Man_0000021,0.005490545238700924,3.5,3.5,3.5
Aberdeen_Man_0000022,0.013104257816668446,3.5,3.5,3.5
Aberdeen_Man_0000024,0.007684939260678364,3.5,3.5,3.5
Aberdeen_Man_0000025,NA,1,1,1
Aberdeen_Man_0000029,0.004928073592565649,3.5,3.5,3.5
Aberdeen_Man_0000031,NA,2.5,2.5,2.5
Aberdeen_Man_0000032,NA,3.5,3.5,3.5
Aberdeen_Man_0000033,NA,4,4,4
Aberdeen_Man_0000037,0.010888387469171434,3.5,3.5,3.5
Aberdeen_Man_0000039,NA,2,2,2
Aberdeen_Man_0000042,0.004432624113475178,0.5,0.5,0.5
Aberdeen_Man_0000043,0.006087870053605581,1.5,1.5,1.5
Aberdeen_Man_0000044,0.005445477827200431,3.5,3.5,3.5
Aberdeen_Man_0000046,0.003729514890836827,3.5,3.5,3.5
Aberdeen_Man_0000047,0.004871395167575994,2,2,2
Aberdeen_Man_0000048,0.004427612709197739,1.5,1.5,1.5
Aberdeen_Man_0000051,0.0041277869829365425,2.5,2.5,2.5
Aberdeen_Man_0000053,0.007626282262164668,2.5,2.5,2.5
Aberdeen_Man_0000054,0.0043090275655522274,2.5,2.5,2.5
Aberdeen_Man_0000056,0.004777119459006732,4,4,4
Aberdeen_Man_0000057,0.004724311555914714,3.5,3.5,3.5
Aberdeen_Man_0000058,0.00463452566096423,1.5,1.5,1.5
Aberdeen_Man_0000059,0.004307384980335852,3.5,3.5,3.5
Aberdeen_Man_0000060,0.0053281514448693034,3.5,3.5,3.5
Aberdeen_Man_0000061,0.004616658176260825,3.5,3.5,3.5
Aberdeen_Man_0000063,NA,1,1,1
Aberdeen_Man_0000066,NA,2.5,2.5,2.5
Aberdeen_Man_0000068,NA,1.5,1.5,1.5
Aberdeen_Man_0000069,0.005484639744050146,2.5,2.5,2.5
Aberdeen_Man_0000072,0.004377464412216802,4,4,4
Aberdeen_Man_0000073,0.006396014273210799,3.5,3.5,3.5
Aberdeen_Man_0000074,0.011133393264642832,2.5,2.5,2.5
Aberdeen_Man_0000075,0.005875730068256984,2.5,2.5,2.5
Aberdeen_Man_0000076,0.004822924734211082,1.5,1.5,1.5
Aberdeen_Man_0000077,0.005480130108895489,1.5,1.5,1.5
Aberdeen_Man_0000078,0.005920516183925976,2.5,2.5,2.5
Aberdeen_Man_0000082,NA,1.5,1.5,1.5
Aberdeen_Man_0000083,NA,3,3,3
Aberdeen_Man_0000085,NA,1.5,1.5,1.5
Aberdeen_Man_0000086,0.0047566914568311375,1.5,1.5,1.5
Aberdeen_Man_0000087,0.007002962791950441,0,1,0
Aberdeen_Man_0000089,0.009153318077803204,2,2,2
Aberdeen_Man_0000092,NA,2.5,2.5,2.5
Aberdeen_Man_0000093,NA,2.5,2.5,2.5
Aberdeen_Man_0000094,0.004647370566653078,0.5,0.5,0.5
Aberdeen_Man_0000095,0.008774793894375969,1,1,1
Aberdeen_Man_0000096,0.0073633413761544225,3.5,3.5,3.5
Aberdeen_Man_0000098,NA,2.5,2.5,2.5
Aberdeen_Man_0000102,0.0052020114444251775,2.5,2.5,2.5
Aberdeen_Man_0000108,NA,1.5,1.5,1.5
Aberdeen_Man_0000110,NA,3,3,3
Aberdeen_Man_0000111,NA,2.5,2.5,2.5
Aberdeen_Man_0000114,NA,2.5,2.5,2.5
Aberdeen_Man_0000120,0.006338325742992629,1,1,1
Aberdeen_Man_0000122,NA,1.5,1.5,1.5
Aberdeen_Man_0000125,0.022258017279250256,2,2,2
Aberdeen_Man_0000126,NA,2,2,2
Aberdeen_Man_0000128,0.02121963311849281,1.5,1.5,1.5
Aberdeen_Man_0000129,NA,1.5,1.5,1.5
Aberdeen_Man_0000130,0.010033109260559848,3,3,2.5
Aberdeen_Man_0000133,0.016314536150377465,3.5,3.5,2.5
Aberdeen_Man_0000134,0.007856853203568532,-1.5,0.5,-1.5
Aberdeen_Man_0000139,0.007747068676716918,1,1,0.5
Aberdeen_Man_0000143,NA,3.5,3.5,2.5
Aberdeen_Man_0000148,0.008801116239132769,2,2,1
Aberdeen_Man_0000150,0.05058449604051069,1,1,1
Aberdeen_Man_0000151,0.014780450965584205,1,1,1
Aberdeen_Man_0000153,NA,3.5,3.5,2.5
Aberdeen_Man_0000156,NA,1,1,1
Aberdeen_Man_0000159,NA,1.5,1.5,1.5
Aberdeen_Man_0000161,NA,2.5,2.5,1.5
Aberdeen_Man_0000162,NA,2.5,2.5,1.5
Aberdeen_Man_0000164,0.01593143987254848,1,1,1
Aberdeen_Man_0000171,NA,3.5,3.5,3
Aberdeen_Man_0000176,NA,3,3,2.5
Aberdeen_Man_0000178,0.006689527235932318,3.5,3.5,2.5
Aberdeen_Man_0000179,NA,2,3,1
Aberdeen_Man_0000182,0.00966568114623607,3.5,3.5,2.5
Aberdeen_Man_0000185,0.010461925451635034,2.5,2.5,1.5
Aberdeen_Man_0000187,NA,3,3,2
Aberdeen_Man_0000191,NA,2.5,2.5,1.5
Aberdeen_Man_0000196,0.007985078976511045,-1.5,0.5,-1.5
Aberdeen_Man_0000198,NA,2,2,1
Aberdeen_Man_0000202,0.039220332958113634,1.5,1.5,1.5
Aberdeen_Man_0000209,NA,2,2,1
Aberdeen_Man_0000214,0.01347443548883283,2.5,2.5,2.5
Aberdeen_Man_0000215,0.016285238418357904,3.5,3.5,2.5
Aberdeen_Man_0000217,NA,2.5,2.5,1.5
Aberdeen_Man_0000221,0.010119823679145714,2,2,1.5
Aberdeen_Man_0000223,0.01143851796593311,3.5,3.5,2.5
Aberdeen_Man_0000226,NA,2,2,1.5
Aberdeen_Man_0000227,0.008738840689048158,2,2,2
