contig_id	contig_length	provirus	proviral_length	gene_count	viral_genes	host_genes	checkv_quality	miuvig_quality	completeness	completeness_method	contamination	kmer_freq	warnings
virus--NC_003038.1	212482	No	NA	207	107	1	High-quality	High-quality	100.0	AAI-based (high-confidence)	0.0	1.0	
virus--NC_002188.1	288539	No	NA	251	173	0	Complete	High-quality	100.0	ITR (high-confidence)	0.0	1.0	
virus--NC_001523.1	8374	No	NA	6	3	0	High-quality	High-quality	100.0	AAI-based (high-confidence)	0.0	1.0	
virus--NC_001662.1	4801	No	NA	3	2	0	High-quality	High-quality	100.0	AAI-based (high-confidence)	0.0	1.0	
virus--NC_001909.1	31754	No	NA	61	57	0	High-quality	High-quality	100.0	AAI-based (high-confidence)	0.0	1.0	
virus--NC_004775.2	39672	No	NA	45	33	1	High-quality	High-quality	100.0	AAI-based (high-confidence)	0.0	1.0	
virus--NC_004683.1	57050	No	NA	80	58	0	High-quality	High-quality	100.0	AAI-based (high-confidence)	0.0	1.0	
virus--NC_004305.1	42259	No	NA	66	35	0	High-quality	High-quality	100.0	AAI-based (high-confidence)	0.0	1.0	
virus--NC_004540.1	7591	No	NA	3	3	0	High-quality	High-quality	93.69	HMM-based (lower-bound)	0.0	1.0	
virus--NC_004289.1	5380	No	NA	4	2	0	Complete	High-quality	100.0	ITR (high-confidence)	0.0	1.0	
virus--NC_005345.2	49220	No	NA	80	27	1	High-quality	High-quality	100.0	AAI-based (high-confidence)	0.0	1.0	
virus--NC_002190.2	3909	No	NA	2	2	0	Complete	High-quality	100.0	DTR (high-confidence)	0.0	1.0	
virus--NC_004828.1	4694	No	NA	2	2	0	Complete	High-quality	100.0	DTR (high-confidence)	0.0	1.0	
virus--NC_006565.1	131522	No	NA	167	80	0	High-quality	High-quality	100.0	AAI-based (high-confidence)	0.0	1.0	
virus--NC_001844.1	145597	No	NA	93	70	0	High-quality	High-quality	97.99	AAI-based (high-confidence)	0.0	1.0	
virus--NC_003509.1	7711	No	NA	1	1	0	Medium-quality	Genome-fragment	54.59	AAI-based (high-confidence)	0.0	1.0	
virus--NC_001408.1	7286	No	NA	4	3	0	Medium-quality	Genome-fragment	67.93	HMM-based (lower-bound)	0.0	1.0	low-confidence DTR
virus--NC_002042.1	3593	No	NA	3	2	0	Low-quality	Genome-fragment	33.67	AAI-based (high-confidence)	0.0	1.0	
virus--NC_003772.1	3195	No	NA	1	0	0	Low-quality	Genome-fragment	12.81	AAI-based (high-confidence)	0.0	1.0	no viral genes detected
virus--NC_003735.1	3617	No	NA	1	0	0	Low-quality	Genome-fragment	12.38	AAI-based (high-confidence)	0.0	1.0	no viral genes detected
virus--NC_003924.1	9185	No	NA	2	2	0	High-quality	High-quality	99.68	AAI-based (high-confidence)	0.0	1.0	
virus--NC_005287.1	4421	No	NA	4	4	0	High-quality	High-quality	100.0	AAI-based (high-confidence)	0.0	1.0	
virus--NC_004714.1	5533	No	NA	2	1	0	High-quality	High-quality	100.0	HMM-based (lower-bound)	0.0	1.0	
virus--NC_003532.1	4733	No	NA	5	4	0	High-quality	High-quality	99.83	AAI-based (high-confidence)	0.0	1.0	
virus--NC_005217.1	6562	No	NA	2	1	0	Medium-quality	Genome-fragment	54.45	AAI-based (high-confidence)	0.0	1.0	
virus--NC_006550.1	9104	No	NA	4	4	0	High-quality	High-quality	100.0	AAI-based (medium-confidence)	0.0	1.0	
virus--NC_006559.1	8026	No	NA	2	2	0	Medium-quality	Genome-fragment	83.12	AAI-based (high-confidence)	0.0	1.0	
virus--NC_006313.1	7133	No	NA	1	1	0	Medium-quality	Genome-fragment	67.84	AAI-based (high-confidence)	0.0	1.0	
virus--NC_001278.1	4113	No	NA	3	1	0	Medium-quality	Genome-fragment	69.59	HMM-based (lower-bound)	0.0	1.0	
virus--NC_005080.1	7114	No	NA	2	1	0	Medium-quality	Genome-fragment	67.64	AAI-based (high-confidence)	0.0	1.0	
virus--NC_007019.1	34704	No	NA	41	37	0	High-quality	High-quality	91.73	AAI-based (high-confidence)	0.0	1.0	
virus--NC_004065.1	230278	No	NA	156	88	0	Complete	High-quality	100.0	DTR (high-confidence)	0.0	1.0	
virus--NC_003215.1	11442	No	NA	2	2	0	High-quality	High-quality	98.79	AAI-based (high-confidence)	0.0	1.0	
virus--NC_001632.1	12226	No	NA	3	1	0	High-quality	High-quality	100.0	AAI-based (high-confidence)	0.0	1.0	
virus--NC_003544.1	3732	No	NA	1	1	0	Low-quality	Genome-fragment	38.48	AAI-based (high-confidence)	0.0	1.0	
virus--NC_007015.1	7434	No	NA	4	4	0	High-quality	High-quality	99.82	AAI-based (high-confidence)	0.0	1.0	
virus--NC_001445.1	9741	No	NA	1	1	0	High-quality	High-quality	99.14	AAI-based (high-confidence)	0.0	1.0	
virus--NC_005029.1	10538	No	NA	1	1	0	High-quality	High-quality	100.0	AAI-based (high-confidence)	0.0	1.0	
virus--NC_007383.1	134394	No	NA	132	107	0	High-quality	High-quality	95.61	AAI-based (high-confidence)	0.0	1.0	
virus--NC_007433.1	10429	No	NA	1	1	0	High-quality	High-quality	100.0	AAI-based (high-confidence)	0.0	1.0	
virus--NC_007548.1	3538	No	NA	1	1	0	Low-quality	Genome-fragment	19.58	AAI-based (high-confidence)	0.0	1.0	
virus--NC_007609.1	6181	No	NA	3	2	0	High-quality	High-quality	99.4	AAI-based (high-confidence)	0.0	1.0	
virus--NC_007804.2	39104	No	NA	51	40	0	High-quality	High-quality	97.32	AAI-based (high-confidence)	0.0	1.0	
virus--NC_008798.1	43265	No	NA	67	55	0	High-quality	High-quality	100.0	AAI-based (high-confidence)	0.0	1.0	
virus--NC_008302.1	8912	No	NA	1	1	0	Medium-quality	Genome-fragment	52.74	AAI-based (high-confidence)	0.0	1.0	
virus--NC_007967.1	38194	No	NA	56	16	1	High-quality	High-quality	100.0	AAI-based (high-confidence)	0.0	1.0	
virus--NC_008349.1	134417	No	NA	150	126	0	High-quality	High-quality	100.0	AAI-based (high-confidence)	0.0	1.0	
virus--NC_008584.1	152372	No	NA	151	14	0	High-quality	High-quality	98.1	AAI-based (high-confidence)	0.0	1.0	
