## Contig_id	Nb genes contigs	Fragment	Nb genes	Category	Nb phage hallmark genes	Phage gene enrichment sig	Non-Caudovirales phage gene enrichment sig	Pfam depletion sig	Uncharacterized enrichment sig	Strand switch depletion sig	Short genes enrichment sig	assembly
1--VIRSorter_bacteria--NZ_AIFH01000022_1--fragment_4	6	VIRSorter_bacteria--NZ_AIFH01000022_1--fragment_4	6	1	1	3.67185133502546						1
1--VIRSorter_bacteria--NZ_CZMK01000022_1--fragment_1	4	VIRSorter_bacteria--NZ_CZMK01000022_1--fragment_1	4	1	2	2.44790089001697						1
1--VIRSorter_bacteria--NZ_KI975784_1--fragment_3	9	VIRSorter_bacteria--NZ_KI975784_1--fragment_3	9	1	2	5.50777700253819						1
1--VIRSorter_virus--3300001278_____BBAY75_10000095--fragment_9	5	VIRSorter_virus--3300001278_____BBAY75_10000095--fragment_9	5	1	1	3.05987611252121						1
1--VIRSorter_virus--3300002408_____B570J29032_109959694--fragment_30	7	VIRSorter_virus--3300002408_____B570J29032_109959694--fragment_30	7	1	1	2.92882332228420						1
1--VIRSorter_virus--3300005235_____Ga0066637_10000176--fragment_8	5	VIRSorter_virus--3300005235_____Ga0066637_10000176--fragment_8	5	1	1	3.05987611252121						1
1--VIRSorter_virus--3300005541_____Ga0070733_10002713--fragment_1	8	VIRSorter_virus--3300005541_____Ga0070733_10002713--fragment_1	8	1	1		8.71178805077905					1
1--VIRSorter_virus--3300005680_____Ga0074429_1000783--fragment_10	4	VIRSorter_virus--3300005680_____Ga0074429_1000783--fragment_10	4	1	3	2.44790089001697						1
1--VIRSorter_virus--3300005805_____Ga0079957_1000147--fragment_13	5	VIRSorter_virus--3300005805_____Ga0079957_1000147--fragment_13	5	1	2	3.05987611252121						1
1--VIRSorter_virus--3300006297_____Ga0099630_1000014--fragment_2	6	VIRSorter_virus--3300006297_____Ga0099630_1000014--fragment_2	6	1	1	3.67185133502546						1
1--VIRSorter_virus--3300006322_____Ga0099623_1000085--fragment_13	10	VIRSorter_virus--3300006322_____Ga0099623_1000085--fragment_13	10	1	3	6.11975222504243						1
1--VIRSorter_virus--3300006743_____Ga0101795_100190--fragment_3	9	VIRSorter_virus--3300006743_____Ga0101795_100190--fragment_3	9	1	2	4.04791190371438						1
1--VIRSorter_virus--3300006877_____Ga0099347_10014--fragment_3	5	VIRSorter_virus--3300006877_____Ga0099347_10014--fragment_3	5	1	1	3.05987611252121						1
1--VIRSorter_virus--3300006921_____Ga0098060_1000039--fragment_13	3	VIRSorter_virus--3300006921_____Ga0098060_1000039--fragment_13	3	1	1		2.16229971376937					1
1--VIRSorter_virus--3300007087_____Ga0102673_100027--fragment_5	8	VIRSorter_virus--3300007087_____Ga0102673_100027--fragment_5	8	1	1	4.89580178003394						1
1--VIRSorter_virus--3300007368_____Ga0104977_1000004--fragment_2	4	VIRSorter_virus--3300007368_____Ga0104977_1000004--fragment_2	4	1	4	2.44790089001697						1
1--VIRSorter_virus--3300007654_____Ga0105017_100358--fragment_3	10	VIRSorter_virus--3300007654_____Ga0105017_100358--fragment_3	10	1	2	2.51651609420193						1
1--VIRSorter_virus--3300007657_____Ga0105536_100455--fragment_7	9	VIRSorter_virus--3300007657_____Ga0105536_100455--fragment_7	9	1	3	2.93596207779261						1
1--VIRSorter_virus--3300007747_____Ga0101111_1000079--fragment_8	4	VIRSorter_virus--3300007747_____Ga0101111_1000079--fragment_8	4	1	2	2.44790089001697						1
1--VIRSorter_virus--3300007870_____Ga0114175_1020--fragment_3	7	VIRSorter_virus--3300007870_____Ga0114175_1020--fragment_3	7	1	2	4.28382655752970						1
1--VIRSorter_virus--3300007986_____Ga0100380_10000748--fragment_9	8	VIRSorter_virus--3300007986_____Ga0100380_10000748--fragment_9	8	1	1	4.89580178003394						1
1--VIRSorter_virus--3300007988_____Ga0100402_1000828--fragment_2	4	VIRSorter_virus--3300007988_____Ga0100402_1000828--fragment_2	4	1	1	2.44790089001697						1
1--VIRSorter_virus--3300008126_____Ga0114844_1000362--fragment_5	6	VIRSorter_virus--3300008126_____Ga0114844_1000362--fragment_5	6	1	1	2.38061042338579						1
1--VIRSorter_virus--3300008250_____Ga0105354_1000099--fragment_7	6	VIRSorter_virus--3300008250_____Ga0105354_1000099--fragment_7	6	1	1	2.38061042338579						1
1--VIRSorter_virus--3300008255_____Ga0100403_1000583--fragment_4	8	VIRSorter_virus--3300008255_____Ga0100403_1000583--fragment_4	8	1	1	3.48521036508559						1
1--VIRSorter_virus--3300008364_____Ga0114890_100197--fragment_7	9	VIRSorter_virus--3300008364_____Ga0114890_100197--fragment_7	9	1	2	2.05184998863023						1
1--VIRSorter_virus--3300008618_____Ga0111234_100038--fragment_6	4	VIRSorter_virus--3300008618_____Ga0111234_100038--fragment_6	4	1	1	2.44790089001697						1
1--VIRSorter_virus--3300008710_____Ga0115610_100035--fragment_2	9	VIRSorter_virus--3300008710_____Ga0115610_100035--fragment_2	9	1	1	2.05184998863023						1
1--VIRSorter_virus--3300008720_____Ga0115616_100001--fragment_3	9	VIRSorter_virus--3300008720_____Ga0115616_100001--fragment_3	9	1	3	2.05184998863023						1
1--VIRSorter_virus--3300009159_____Ga0114978_10000007--fragment_29	5	VIRSorter_virus--3300009159_____Ga0114978_10000007--fragment_29	5	1	1	3.05987611252121						1
1--VIRSorter_virus--3300009687_____Ga0116144_10000617--fragment_6	6	VIRSorter_virus--3300009687_____Ga0116144_10000617--fragment_6	6	1	3	2.38061042338579						1
1--VIRSorter_virus--3300010283_____Ga0129312_1000034--fragment_14	6	VIRSorter_virus--3300010283_____Ga0129312_1000034--fragment_14	6	1	2	3.67185133502546						1
1--VIRSorter_virus--3300010368_____Ga0129324_10000107--fragment_12	4	VIRSorter_virus--3300010368_____Ga0129324_10000107--fragment_12	4	1	2	2.44790089001697						1
