contig_id	contig_length	provirus	proviral_length	gene_count	viral_genes	host_genes	checkv_quality	miuvig_quality	completeness	completeness_method	contamination	kmer_freq	warnings
NC_001422.1	5386	No	NA	7	6	0	Medium-quality	Genome-fragment	88.3	AAI-based (high-confidence)	0.0	1.0	
NC_005817.1	2928	No	NA	2	1	0	Low-quality	Genome-fragment	49.58	AAI-based (high-confidence)	0.0	1.0	
NC_005818.1	1981	No	NA	1	1	0	Low-quality	Genome-fragment	33.54	AAI-based (high-confidence)	0.0	1.0	
NC_005819.1	977	No	NA	1	0	0	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
NC_002204.1	2368	No	NA	1	1	0	Low-quality	Genome-fragment	17.28	AAI-based (high-confidence)	0.0	1.0	
NC_002205.1	2313	No	NA	1	1	0	Low-quality	Genome-fragment	15.93	AAI-based (high-confidence)	0.0	1.0	
NC_002206.1	2204	No	NA	1	1	0	Low-quality	Genome-fragment	15.18	AAI-based (high-confidence)	0.0	1.0	
NC_002207.1	1882	No	NA	1	1	0	Low-quality	Genome-fragment	12.96	AAI-based (high-confidence)	0.0	1.0	
NC_002208.1	1841	No	NA	1	1	0	Low-quality	Genome-fragment	12.68	AAI-based (high-confidence)	0.0	1.0	
NC_002209.1	1557	No	NA	1	1	0	Low-quality	Genome-fragment	10.72	AAI-based (high-confidence)	0.0	1.0	
NC_002210.1	1191	No	NA	2	1	0	Low-quality	Genome-fragment	8.2	AAI-based (high-confidence)	0.0	1.0	
NC_002211.1	1096	No	NA	1	0	0	Low-quality	Genome-fragment	7.55	AAI-based (high-confidence)	0.0	1.0	no viral genes detected
NC_001998.1	4529	No	NA	6	6	0	High-quality	High-quality	100.0	AAI-based (high-confidence)	0.0	1.0	
NC_001442.1	4697	No	NA	5	3	0	High-quality	High-quality	98.92	AAI-based (high-confidence)	0.0	1.0	
NC_001546.1	300	No	NA	1	0	0	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
NC_001678.1	8028	No	NA	8	6	0	High-quality	High-quality	100.0	AAI-based (high-confidence)	0.0	1.0	
NC_001829.1	4767	No	NA	3	2	0	Complete	High-quality	100.0	ITR (high-confidence)	0.0	1.0	
NC_001895.1	33593	No	NA	43	31	2	High-quality	High-quality	100.0	AAI-based (high-confidence)	0.0	1.0	
NC_001954.1	8454	No	NA	13	0	0	High-quality	High-quality	100.0	AAI-based (high-confidence)	0.0	1.0	no viral genes detected
NC_000866.4	168903	No	NA	265	247	0	High-quality	High-quality	98.68	AAI-based (high-confidence)	0.0	1.0	
NC_002166.1	40751	No	NA	66	52	0	High-quality	High-quality	100.0	AAI-based (high-confidence)	0.0	1.0	
NC_002214.1	39807	No	NA	52	47	0	High-quality	High-quality	100.0	AAI-based (high-confidence)	0.0	1.0	
NC_002195.1	2915	No	NA	3	2	0	High-quality	High-quality	99.87	AAI-based (high-confidence)	0.0	1.0	
NC_001421.2	14927	No	NA	26	4	0	Complete	High-quality	100.0	ITR (high-confidence)	0.0	1.0	
NC_001465.1	1291	No	NA	1	1	0	High-quality	High-quality	100.0	AAI-based (high-confidence)	0.0	1.0	
NC_001505.2	4754	No	NA	4	4	0	High-quality	High-quality	94.01	AAI-based (high-confidence)	0.0	1.0	
NC_001541.1	7868	No	NA	7	6	0	High-quality	High-quality	100.0	AAI-based (high-confidence)	0.0	1.0	
NC_001938.1	2601	No	NA	3	3	0	Low-quality	Genome-fragment	49.37	AAI-based (high-confidence)	0.0	1.0	
NC_001939.1	2544	No	NA	2	2	0	Low-quality	Genome-fragment	48.75	AAI-based (high-confidence)	0.0	1.0	
NC_001875.2	131995	No	NA	149	121	0	High-quality	High-quality	100.0	AAI-based (high-confidence)	0.0	1.0	
NC_001962.1	128413	No	NA	140	122	0	High-quality	High-quality	97.75	AAI-based (high-confidence)	0.0	1.0	
NC_002362.1	8784	No	NA	13	7	0	Low-quality	Genome-fragment	41.8	AAI-based (high-confidence)	0.0	1.0	
NC_002520.1	232392	No	NA	264	98	1	Medium-quality	Genome-fragment	79.84	AAI-based (high-confidence)	0.0	1.0	low-confidence ITR
NC_002555.1	2622	No	NA	3	3	0	Medium-quality	Genome-fragment	53.55	AAI-based (high-confidence)	0.0	1.0	
NC_002556.1	2572	No	NA	2	2	0	Low-quality	Genome-fragment	49.27	AAI-based (high-confidence)	0.0	1.0	
NC_000929.1	36717	No	NA	55	36	0	High-quality	High-quality	98.61	AAI-based (high-confidence)	0.0	1.0	
NC_002656.1	50550	No	NA	84	75	0	High-quality	High-quality	97.4	AAI-based (high-confidence)	0.0	1.0	
NC_002671.1	15179	No	NA	26	7	0	Low-quality	Genome-fragment	45.26	AAI-based (high-confidence)	0.0	1.0	low-confidence DTR
NC_002797.1	1787	No	NA	1	1	0	Low-quality	Genome-fragment	48.28	AAI-based (high-confidence)	0.0	1.0	
NC_002800.1	1585	No	NA	1	0	0	Low-quality	Genome-fragment	43.13	AAI-based (high-confidence)	0.0	1.0	no viral genes detected
NC_002984.1	2632	No	NA	3	3	0	Low-quality	Genome-fragment	49.97	AAI-based (high-confidence)	0.0	1.0	
NC_002985.1	2600	No	NA	2	2	0	Low-quality	Genome-fragment	49.81	AAI-based (high-confidence)	0.0	1.0	
NC_003054.1	1821	No	NA	2	2	0	High-quality	High-quality	96.95	AAI-based (high-confidence)	0.0	1.0	
NC_003138.2	8303	No	NA	8	4	0	High-quality	High-quality	100.0	AAI-based (high-confidence)	0.0	1.0	
NC_000872.1	40739	No	NA	54	46	0	High-quality	High-quality	100.0	AAI-based (high-confidence)	0.0	1.0	
NC_002661.2	42942	No	NA	68	59	0	Complete	High-quality	100.0	DTR (high-confidence)	0.0	1.0	
NC_003288.1	43081	No	NA	65	56	0	High-quality	High-quality	100.0	AAI-based (high-confidence)	0.0	1.0	
NC_003324.1	57416	No	NA	64	20	1	High-quality	High-quality	100.0	AAI-based (high-confidence)	0.0	1.0	
NC_003378.1	7767	No	NA	8	3	0	High-quality	High-quality	98.35	AAI-based (high-confidence)	0.0	1.0	
NC_003387.1	52797	No	NA	86	70	0	High-quality	High-quality	93.59	AAI-based (high-confidence)	0.0	1.0	
NC_001902.1	26111	No	NA	39	8	0	Medium-quality	Genome-fragment	84.21	AAI-based (high-confidence)	0.0	1.0	
NC_003470.1	2180	No	NA	1	1	0	Low-quality	Genome-fragment	46.76	AAI-based (high-confidence)	0.0	1.0	
NC_003471.1	2135	No	NA	1	1	0	Low-quality	Genome-fragment	46.85	AAI-based (medium-confidence)	0.0	1.0	
NC_003529.1	155060	No	NA	159	132	0	High-quality	High-quality	99.21	AAI-based (high-confidence)	0.0	1.0	
NC_003609.1	2757	No	NA	4	4	0	Medium-quality	Genome-fragment	55.39	AAI-based (high-confidence)	0.0	1.0	
