scaffold	type	Quality
NC_030943.1 Gordonia phage Blueberry, complete genome	lytic	low quality draft
NC_047887.1 Pectobacterium phage DU_PP_V, complete genome	lytic	high quality draft
NC_030928.1 Xanthomonas phage f20-Xaj, complete genome	lytic	high quality draft
NC_023550.1 Staphylococcus phage GRCS, complete genome	lytic	medium quality draft
NC_028754.1 Salmonella phage Shivani, complete genome	lytic	high quality draft
NC_041847.1 Mycobacterium phage Mutaforma13, complete genome	lysogenic	medium quality draft
NC_048793.1 Gordonia phage Kenosha, complete genome	lytic	medium quality draft
NC_027341.1 Lactococcus phage WRP3, complete genome	lysogenic	high quality draft
NC_051632.1 Mycobacterium phage Alexphander, complete genome	lysogenic	medium quality draft
NC_049900.1 Listeria phage LP-HM00113468, complete genome	lysogenic	high quality draft
NC_051658.1 Mycobacterium phage Firehouse51, complete genome	lysogenic	medium quality draft
NC_048845.1 Escherichia phage flopper, complete genome	lytic	high quality draft
NC_051679.1 Mycobacterium phage Mahavrat, complete genome	lysogenic	medium quality draft
NC_055737.1 Proteus phage phiP4-3, complete genome	lytic	high quality draft
NC_048686.1 Streptomyces phage Immanuel3, complete genome	lytic	medium quality draft
NC_054804.1 Mycobacterium phage Cindaradix, complete genome	lytic	high quality draft
NC_005948.1 Vibrio phage Vf33, complete genome	lytic	medium quality draft
NC_051627.1 Mycobacterium phage SirPhilip, complete genome	lysogenic	high quality draft
NC_051606.1 Mycobacterium phage Amohnition, complete genome	lysogenic	high quality draft
NC_051718.1 Mycobacterium phage Whouxphf, complete genome	lysogenic	medium quality draft
NC_055022.1 Staphylococcus phage SP197 DNA, complete genome	lysogenic	high quality draft
NC_054966.1 Klebsiella phage SopranoGao, complete genome	lysogenic	low quality draft
NC_051715.1 Mycobacterium phage TDanisky, complete genome	lysogenic	medium quality draft
NC_048094.1 Arthrobacter phage Eileen, complete genome	lysogenic	medium quality draft
NC_054656.1 Streptomyces phage Yosif, complete genome	lytic	high quality draft
NC_054990.1 Lactococcus phage 05802, complete genome	lytic	high quality draft
NC_061451.1 Erwinia phage pEa_SNUABM_7, complete genome	lytic	high quality draft
NC_008207.1 Mycobacterium phage Catera, complete genome	lytic	high quality draft
NC_020197.1 Streptococcus phage TP-J34 complete genome	lysogenic	high quality draft
NC_047871.1 Listeria phage LMTA-57, complete genome	lytic	high quality draft
NC_053240.1 Gordonia phage Tangerine, complete genome	lytic	low quality draft
NC_023715.1 Yersinia phage Yep-phi, complete genome	lytic	high quality draft
NC_041951.1 Arthrobacter phage CaptnMurica, complete genome	lytic	medium quality draft
NC_048728.1 Streptomyces phage Comrade, complete genome	lytic	high quality draft
NC_054953.1 Halobacterium virus ChaoS9, complete genome	lysogenic	low quality draft
NC_054928.1 Escherichia phage vB_vPM_PD112, complete genome	lytic	high quality draft
NC_041926.1 Escherichia phage vB_EcoM_ECOO78, complete genome	lytic	high quality draft
NC_049814.1 Shigella phage JK16, complete genome	lytic	high quality draft
NC_051634.1 Mycobacterium phage Batiatus, complete genome	lysogenic	medium quality draft
NC_031095.1 Klebsiella phage PKO111, complete genome	lytic	high quality draft
NC_055060.1 Streptomyces phage WheeHeim, complete genome	lytic	medium quality draft
NC_013085.1 Synechococcus phage S-RSM4, complete genome	lytic	high quality draft
NC_019486.1 Lactobacillus phage LF1, complete genome	lysogenic	high quality draft
NC_048120.1 Pectobacterium phage Zenivior, complete genome	lytic	high quality draft
NC_016570.1 Escherichia phage Cba120, complete genome	lytic	high quality draft
NC_005887.1 Burkholderia phage BcepC6B, complete genome	lysogenic	high quality draft
NC_019920.1 Enterobacteria phage C-1 INW-2012, complete sequence	lytic	low quality draft
