assembly	contig_id	category
B	NODE_474_length_5565_cov_4_294643	1
B	NODE_487_length_5463_cov_105_487746-circula	1
B	NODE_271_length_8495_cov_4_377762	2
B	NODE_893_length_3285_cov_26_049875-circula	2
co-1	NODE_7447_length_3992_cov_3_318616	1
co-1	NODE_8090_length_3669_cov_1_090141	1
co-1	NODE_1071_length_28904_cov_10_010804	2
co-1	NODE_1175_length_26695_cov_2_089141	2
co-1	NODE_1191_length_26406_cov_2_352494	2
co-1	NODE_1497_length_21420_cov_6_956669	2
co-1	NODE_1511_length_21259_cov_1_678430	2
co-1	NODE_1833_length_17771_cov_45_570304	2
co-1	NODE_2107_length_15497_cov_123_685330	2
co-1	NODE_232_length_91939_cov_4_565084	2
co-1	NODE_239_length_90122_cov_17_503061	2
co-1	NODE_2818_length_11277_cov_6_030651	2
co-1	NODE_2877_length_11086_cov_3_619860	2
co-1	NODE_3050_length_10321_cov_1_325426	2
co-1	NODE_3073_length_10225_cov_5_306748	2
co-1	NODE_3456_length_9048_cov_1_489529	2
co-1	NODE_3773_length_8156_cov_2_001244	2
co-1	NODE_3821_length_8032_cov_1_423607	2
co-1	NODE_4213_length_7265_cov_2_130143	2
co-1	NODE_4403_length_6926_cov_4_581901	2
co-1	NODE_4662_length_6487_cov_1_257695	2
co-1	NODE_515_length_51312_cov_346_898189	2
co-1	NODE_5641_length_5322_cov_12_438401	2
co-1	NODE_579_length_46992_cov_4_631792	2
co-1	NODE_5841_length_5141_cov_758_310036	2
co-1	NODE_594_length_45928_cov_2_476544	2
co-1	NODE_6069_length_4912_cov_15_187357	2
co-1	NODE_6320_length_4707_cov_21_701613	2
co-1	NODE_6413_length_4638_cov_1_688648	2
co-1	NODE_651_length_42774_cov_34_838073	2
co-1	NODE_6701_length_4453_cov_3_071989	2
co-1	NODE_6807_length_4387_cov_1_106139	2
co-1	NODE_700_length_40180_cov_5_344125-circula	2
co-1	NODE_709_length_39624_cov_109_536388	2
co-1	NODE_718_length_39435_cov_2_951953	2
co-1	NODE_727_length_39184_cov_3_144272	2
co-1	NODE_8145_length_3645_cov_12_298355	2
co-1	NODE_8446_length_3510_cov_1_273371	2
co-1	NODE_844_length_35122_cov_12_006914	2
co-1	NODE_899_length_33020_cov_44_250813	2
co-1	NODE_9831_length_3053_cov_3_055215	2
co-1	NODE_9858_length_3044_cov_1_219487	2
co-1	NODE_1039_length_29560_cov_2_291600	3
co-1	NODE_1080_length_28797_cov_10_390369	3
co-1	NODE_1103_length_28097_cov_696_887054	3
co-1	NODE_115_length_144298_cov_4_391839	3
co-1	NODE_1172_length_26746_cov_11_925564	3
co-1	NODE_127_length_136511_cov_4_474999	3
co-1	NODE_1312_length_24384_cov_2_988213	3
co-1	NODE_1382_length_23226_cov_3_150950	3
co-1	NODE_1451_length_22111_cov_1_892779	3
co-1	NODE_1537_length_20845_cov_4_598910	3
